"","Genome","Accession","Source.information","Topology","Taxonomy","Molecule.type","Genome.length","Number.of.proteins","Host","Date.completed","Date.updated","first.acc","n.overlaps","len.overlaps"
"8732","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8733","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8734","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8735","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8736","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8737","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8738","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8739","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8740","Mammalian orthoreovirus 3","['NC_013230', 'NC_013225', 'NC_013229', 'NC_013234', 'NC_013233', 'NC_013232', 'NC_013231', 'NC_013228', 'NC_013227', 'NC_013226']","serotype:3; isolate:MPC/04","linear","['Viruses', 'Riboviria', 'Reoviridae', 'Spinareovirinae', 'Orthoreovirus']","RNA",23176,11,"vertebrates","09/15/2009","08/13/2018","NC_013230",0,NA
"8741","Mammalian rubulavirus 5","NC_006430","strain:W3A","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Paramyxoviridae', 'Rubulavirus']","RNA",15246,8,"vertebrates, human","11/16/2004","08/13/2018","NC_006430",1,671
"8742","Manitoba virus","NC_034531","strain:Mn936-77","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'Hapavirus']","RNA",13784,11,"invertebrates","05/15/2017","08/25/2018","NC_034531",2,155.5
"8743","Maporal virus","['NC_034552', 'NC_034566', 'NC_034553']","strain:HV-97021050","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Hantaviridae', 'Mammantavirinae', 'Orthohantavirus']","RNA",12106,3,"vertebrates, human","05/15/2017","08/23/2018","NC_034552",0,NA
"8744","Maporal virus","['NC_034552', 'NC_034566', 'NC_034553']","strain:HV-97021050","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Hantaviridae', 'Mammantavirinae', 'Orthohantavirus']","RNA",12106,3,"vertebrates, human","05/15/2017","08/23/2018","NC_034552",0,NA
"8745","Maporal virus","['NC_034552', 'NC_034566', 'NC_034553']","strain:HV-97021050","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Hantaviridae', 'Mammantavirinae', 'Orthohantavirus']","RNA",12106,3,"vertebrates, human","05/15/2017","08/23/2018","NC_034552",0,NA
"8746","Maprik virus","['NC_026283', 'NC_026281', 'NC_026282']","isolate:MK7532","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'unclassified Peribunyaviridae']","RNA",12113,3,"vertebrates, invertebrates","01/31/2015","08/13/2018","NC_026283",0,NA
"8747","Maprik virus","['NC_026283', 'NC_026281', 'NC_026282']","isolate:MK7532","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'unclassified Peribunyaviridae']","RNA",12113,3,"vertebrates, invertebrates","01/31/2015","08/13/2018","NC_026283",0,NA
"8748","Maprik virus","['NC_026283', 'NC_026281', 'NC_026282']","isolate:MK7532","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'unclassified Peribunyaviridae']","RNA",12113,3,"vertebrates, invertebrates","01/31/2015","08/13/2018","NC_026283",0,NA
"8749","Mapuera rubulavirus","NC_009489","isolate:BeAnn 370284","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Paramyxoviridae', 'Rubulavirus']","cRNA",15486,9,"vertebrates, human","05/24/2007","08/13/2018","NC_009489",6,467.166666666667
"8750","Maraba virus","NC_025255","-","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'Vesiculovirus']","ss-RNA",11135,6,"vertebrates, human","10/15/2014","08/13/2018","NC_025255",1,150
"8751","Maracuja mosaic virus","NC_008716","-","linear","['Viruses', 'Riboviria', 'Virgaviridae', 'Tobamovirus']","RNA",6794,4,"plants","12/27/2006","08/13/2018","NC_008716",1,77
"8752","Marburg marburgvirus","['NC_001608', 'NC_024781']","isolate:Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Filoviridae', 'Marburgvirus']","cRNA",38225,14,"vertebrates, human","01/26/1994","08/13/2018","NC_001608",0,NA
"8753","Marburg marburgvirus","['NC_001608', 'NC_024781']","isolate:Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Filoviridae', 'Marburgvirus']","cRNA",38225,14,"vertebrates, human","01/26/1994","08/13/2018","NC_001608",0,NA
"8754","Marco virus","NC_034530","strain:BeAn40290","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'Hapavirus']","RNA",13294,7,"vertebrates","05/15/2017","08/25/2018","NC_034530",0,NA
"8755","Mariental mammarenavirus","['NC_027134', 'NC_027136']","strain:N27 MRMi.n9","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Arenaviridae', 'Mammarenavirus']","RNA",10200,4,"vertebrates","06/02/2015","08/13/2018","NC_027134",0,NA
"8756","Mariental mammarenavirus","['NC_027134', 'NC_027136']","strain:N27 MRMi.n9","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Arenaviridae', 'Mammarenavirus']","RNA",10200,4,"vertebrates","06/02/2015","08/13/2018","NC_027134",0,NA
"8757","Marine RNA virus BC-1","NC_043541","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Salisharnavirus', 'Britarnavirus 1']","RNA",8638,2,"algae","06/28/2019","06/28/2019","NC_043541",0,NA
"8758","Marine RNA virus BC-2","NC_043542","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Sogarnavirus', 'Britarnavirus 2']","RNA",8843,2,"algae","06/28/2019","06/28/2019","NC_043542",0,NA
"8759","Marine RNA virus BC-3","NC_043543","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Sogarnavirus', 'Britarnavirus 3']","RNA",8496,2,"algae","06/28/2019","06/28/2019","NC_043543",0,NA
"8760","Marine RNA virus JP-A","NC_009757","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Sogarnavirus', 'Jericarnavirus A']","RNA",9236,2,"environment","08/29/2007","08/13/2018","NC_009757",0,NA
"8761","Marine RNA virus JP-B","NC_009758","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Locarnavirus', 'Jericarnavirus B']","RNA",8926,2,"environment","08/29/2007","08/13/2018","NC_009758",0,NA
"8762","Marine RNA virus PAL128","NC_029306","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Salisharnavirus', 'Palmarnavirus 128']","RNA",8660,2,"environment","02/26/2016","08/13/2018","NC_029306",0,NA
"8763","Marine RNA virus PAL156","NC_029307","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Sogarnavirus', 'Palmarnavirus 156']","RNA",7897,2,"environment","03/01/2016","08/13/2018","NC_029307",0,NA
"8764","Marine RNA virus PAL473","NC_029309","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Salisharnavirus', 'Palmarnavirus 473']","RNA",6360,2,"environment","03/01/2016","08/13/2018","NC_029309",0,NA
"8765","Marine RNA virus SF-1","NC_043515","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Locarnavirus', 'Sanfarnavirus 1']","RNA",8970,2,"algae","06/28/2019","06/28/2019","NC_043515",0,NA
"8766","Marine RNA virus SF-2","NC_043518","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Locarnavirus', 'Sanfarnavirus 2']","RNA",9321,2,"algae","06/28/2019","06/28/2019","NC_043518",0,NA
"8767","Marine RNA virus SF-3","NC_043519","isolate:SF-3","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Marnaviridae', 'Locarnavirus', 'Sanfarnavirus 3']","RNA",8648,1,"algae","06/28/2019","06/28/2019","NC_043519",0,NA
"8768","Marine RNA virus SOG","NC_009756","-","linear","['Viruses', 'Riboviria', 'unclassified Riboviria', 'unclassified ssRNA viruses', 'ssRNA positive-strand viruses, no DNA stage', 'environmental samples']","RNA",4449,3,"environment","08/29/2007","08/13/2018","NC_009756",0,NA
"8769","Marituba virus","['NC_034495', 'NC_034496', 'NC_034504']","strain:BeAn15","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus']","RNA",12599,4,"vertebrates, invertebrates, human","05/05/2017","08/13/2018","NC_034495",0,NA
"8770","Marituba virus","['NC_034495', 'NC_034496', 'NC_034504']","strain:BeAn15","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus']","RNA",12599,4,"vertebrates, invertebrates, human","05/05/2017","08/13/2018","NC_034495",0,NA
"8771","Marituba virus","['NC_034495', 'NC_034496', 'NC_034504']","strain:BeAn15","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus']","RNA",12599,4,"vertebrates, invertebrates, human","05/05/2017","08/13/2018","NC_034495",0,NA
"8772","Marmot norovirus","NC_040674","strain:HT16","linear","['Viruses', 'Riboviria', 'Caliciviridae', 'Norovirus']","RNA",6453,1,"vertebrates","02/12/2019","02/12/2019","NC_040674",0,NA
"8773","Marmot sapelovirus 1","NC_040605","strain:HT5","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Picornaviridae', 'Sapelovirus', 'unclassified Sapelovirus']","RNA",7726,1,"vertebrates","02/12/2019","02/12/2019","NC_040605",0,NA
"8774","Mayaro virus","NC_003417","-","linear","['Viruses', 'Riboviria', 'Togaviridae', 'Alphavirus']","ss-RNA",11411,4,"vertebrates, invertebrates, human","02/22/2002","08/13/2018","NC_003417",2,3963
"8775","Meaban virus","NC_033721","-","linear","['Viruses', 'Riboviria', 'Flaviviridae', 'Flavivirus']","RNA",10266,1,"vertebrates, invertebrates, human","02/16/2017","05/23/2019","NC_033721",0,NA
"8776","Meadow saffron breaking virus","NC_043152","-","linear","['Viruses', 'Riboviria', 'Potyviridae', 'Potyvirus']","RNA",1625,1,"plants","06/28/2019","06/28/2019","NC_043152",0,NA
"8777","Measles morbillivirus","NC_001498","strain:Ichinose-B95a","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Paramyxoviridae', 'Orthoparamyxovirinae', 'Morbillivirus']","cRNA",15894,8,"vertebrates, human","12/09/1998","08/13/2018","NC_001498",3,674
"8778","Medicago sativa alphapartitivirus 1","['NC_040456', 'NC_040457']","isolate:LN14","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'Alphapartitivirus', 'unclassified Alphapartitivirus']","RNA",3694,2,"plants","02/12/2019","02/12/2019","NC_040456",0,NA
"8779","Medicago sativa alphapartitivirus 1","['NC_040456', 'NC_040457']","isolate:LN14","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'Alphapartitivirus', 'unclassified Alphapartitivirus']","RNA",3694,2,"plants","02/12/2019","02/12/2019","NC_040456",0,NA
"8780","Medicago sativa amalgavirus 1","NC_040591","strain:MsAV1-Maverick","linear","['Viruses', 'Riboviria', 'Amalgaviridae', 'unclassified Amalgaviridae']","RNA",3423,2,"","02/12/2019","02/12/2019","NC_040591",1,1184
"8781","Mediterranean ruda virus","NC_043536","isolate:ParP17","linear","['Viruses', 'Riboviria', 'Potyviridae', 'Potyvirus']","RNA",9560,1,"plants","06/28/2019","06/28/2019","NC_043536",0,NA
"8782","Melandrium yellow fleck virus","['NC_013267', 'NC_013268', 'NC_013266']","strain:KU1","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Bromovirus']","RNA",8535,4,"plants","10/09/2009","08/13/2018","NC_013267",0,NA
"8783","Melandrium yellow fleck virus","['NC_013267', 'NC_013268', 'NC_013266']","strain:KU1","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Bromovirus']","RNA",8535,4,"plants","10/09/2009","08/13/2018","NC_013267",0,NA
"8784","Melandrium yellow fleck virus","['NC_013267', 'NC_013268', 'NC_013266']","strain:KU1","linear","['Viruses', 'Riboviria', 'Bromoviridae', 'Bromovirus']","ss-RNA",8535,4,"plants","10/09/2009","08/13/2018","NC_013267",0,NA
"8785","Melao virus","['NC_043633', 'NC_043635', 'NC_043634']","strain:TRVL 9375","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus', 'Melao orthobunyavirus']","ss-RNA",12424,4,"vertebrates, invertebrates, human","06/28/2019","06/28/2019","NC_043633",0,NA
"8786","Melao virus","['NC_043633', 'NC_043635', 'NC_043634']","strain:TRVL 9375","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus', 'Melao orthobunyavirus']","ss-RNA",12424,4,"vertebrates, invertebrates, human","06/28/2019","06/28/2019","NC_043633",0,NA
"8787","Melao virus","['NC_043633', 'NC_043635', 'NC_043634']","strain:TRVL 9375","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Orthobunyavirus', 'Melao orthobunyavirus']","ss-RNA",12424,4,"vertebrates, invertebrates, human","06/28/2019","06/28/2019","NC_043633",0,NA
"8788","Melegrivirus A","NC_023858","strain:turkey/B407-THV/2011/HUN","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Picornaviridae', 'Megrivirus']","RNA",9739,1,"vertebrates","03/31/2014","08/13/2018","NC_023858",0,NA
"8789","Turkey hepatitis virus 2993D","NC_021201","strain:124","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Picornaviridae', 'Megrivirus']","ss-RNA",9075,1,"vertebrates","05/13/2013","08/13/2018","NC_021201",0,NA
"8790","Melon aphid-borne yellows virus","NC_010809","-","linear","['Viruses', 'Riboviria', 'Luteoviridae', 'Polerovirus']","RNA",5674,7,"plants","06/05/2008","08/13/2018","NC_010809",8,609.625
"8791","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8792","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8793","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8794","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8795","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8796","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8797","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8798","Melon chlorotic spot virus","['NC_040449', 'NC_040453', 'NC_040455', 'NC_040452', 'NC_040448', 'NC_040451', 'NC_040454', 'NC_040450']","isolate:E11-018","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Phenuiviridae', 'Tenuivirus']","RNA",20079,13,"invertebrates, plants","02/12/2019","02/12/2019","NC_040449",0,NA
"8799","Melon mild mottle virus","['NC_038765', 'NC_038766']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']","RNA",11581,2,"plants","08/24/2018","08/24/2018","NC_038765",0,NA
"8800","Melon mild mottle virus","['NC_038765', 'NC_038766']","-","linear","['Viruses', 'Riboviria', 'Picornavirales', 'Secoviridae', 'Comovirinae', 'Nepovirus']","RNA",11581,2,"plants","08/24/2018","08/24/2018","NC_038765",0,NA
"8801","Melon necrotic spot virus","NC_001504","-","linear","['Viruses', 'Riboviria', 'Tombusviridae', 'Procedovirinae', 'Gammacarmovirus']","ss-RNA",4266,6,"plants","08/02/1993","08/13/2018","NC_001504",7,180.428571428571
"8802","Melon partitivirus","['NC_040484', 'NC_040483']","isolate:MCV2","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'unclassified Partitiviridae']","RNA",3223,2,"plants","02/12/2019","02/12/2019","NC_040484",0,NA
"8803","Melon partitivirus","['NC_040484', 'NC_040483']","isolate:MCV2","linear","['Viruses', 'Riboviria', 'Partitiviridae', 'unclassified Partitiviridae']","RNA",3223,2,"plants","02/12/2019","02/12/2019","NC_040484",0,NA
"8804","Melon severe mosaic tospovirus","['NC_033834', 'NC_033832', 'NC_033833']","isolate:VE440-A","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","RNA",17067,5,"invertebrates, plants","02/27/2017","08/13/2018","NC_033834",0,NA
"8805","Melon severe mosaic tospovirus","['NC_033834', 'NC_033832', 'NC_033833']","isolate:VE440-A","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","RNA",17067,5,"invertebrates, plants","02/27/2017","08/13/2018","NC_033834",0,NA
"8806","Melon severe mosaic tospovirus","['NC_033834', 'NC_033832', 'NC_033833']","isolate:VE440-A","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","RNA",17067,5,"invertebrates, plants","02/27/2017","08/13/2018","NC_033834",0,NA
"8807","Melon yellow spot virus","['NC_008306', 'NC_008300', 'NC_008307']","-","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","ss-RNA",16965,5,"invertebrates, plants","08/25/2006","08/13/2018","NC_008306",0,NA
"8808","Melon yellow spot virus","['NC_008306', 'NC_008300', 'NC_008307']","-","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","ss-RNA",16965,5,"invertebrates, plants","08/25/2006","08/13/2018","NC_008306",0,NA
"8809","Melon yellow spot virus","['NC_008306', 'NC_008300', 'NC_008307']","-","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Peribunyaviridae', 'Tospovirus']","ss-RNA",16965,5,"invertebrates, plants","08/25/2006","08/13/2018","NC_008306",0,NA
"8810","Melon yellowing-associated virus","NC_038324","isolate:M22","linear","['Viruses', 'Riboviria', 'Tymovirales', 'Betaflexiviridae', 'Quinvirinae', 'Carlavirus']","RNA",9073,6,"plants","08/24/2018","08/24/2018","NC_038324",3,23.6666666666667
"8811","Menangle virus","NC_039197","isolate:Australia/bat/2009/Cedar Grove","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Paramyxoviridae', 'Rubulavirinae', 'Pararubulavirus', 'Menangle pararubulavirus']","RNA",15516,7,"vertebrates, human","08/24/2018","08/24/2018","NC_039197",1,684
"8812","Menghai flavivirus","NC_034204","isolate:MHAedFV1","linear","['Viruses', 'Riboviria', 'Flaviviridae']","RNA",10897,1,"invertebrates","03/14/2017","08/25/2018","NC_034204",0,NA
"8813","Menghai rhabdovirus","NC_040602","isolate:Menghai","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'unclassified Rhabdoviridae']","RNA",10744,6,"","02/12/2019","02/12/2019","NC_040602",0,NA
"8814","Meno virus","NC_020900","strain:E9/CI/2004","linear","['Viruses', 'Riboviria', 'Nidovirales', 'Mesnidovirineae', 'Mesoniviridae', 'Hexponivirinae', 'Alphamesonivirus', 'Menolivirus', 'Alphamesonivirus 9']","RNA",19979,6,"invertebrates","04/05/2013","08/13/2018","NC_020900",3,2727
"8815","Mercadeo virus","NC_027819","isolate:ER-M10","linear","['Viruses', 'Riboviria', 'Flaviviridae', 'Flavivirus']","RNA",10938,2,"vertebrates, invertebrates, human","09/14/2015","05/24/2019","NC_027819",1,4176
"8816","Merida virus","NC_040599","isolate:MERD-Mex07","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'unclassified Rhabdoviridae']","RNA",11798,5,"","02/12/2019","02/12/2019","NC_040599",0,NA
"8817","Merida-like virus KE-2017a","NC_040532","isolate:139-1-21","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Haploviricotina', 'Monjiviricetes', 'Mononegavirales', 'Rhabdoviridae', 'unclassified Rhabdoviridae']","RNA",11798,5,"","02/12/2019","02/12/2019","NC_040532",0,NA
"8818","Merino Walk mammarenavirus","['NC_023764', 'NC_023763']","isolate:Merino Walk","linear","['Viruses', 'Riboviria', 'Negarnaviricota', 'Polyploviricotina', 'Ellioviricetes', 'Bunyavirales', 'Arenaviridae', 'Mammarenavirus']","RNA",10562,4,"vertebrates","03/12/2014","08/13/2018","NC_023764",0,NA
